,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year,month,day,day_of_week,hour
0,2.6,1360,11.9,1046,166,113,1692,1268,13.6,48.9,0.7578,2004,3,10,3,18
1,2.0,1292,9.4,955,103,92,1559,972,13.3,47.7,0.7255,2004,3,10,3,19
2,2.2,1402,9.0,939,131,114,1555,1074,11.9,54.0,0.7502,2004,3,10,3,20
3,2.2,1376,9.2,948,172,122,1584,1203,11.0,60.0,0.7867,2004,3,10,3,21
4,1.6,1272,6.5,836,131,116,1490,1110,11.2,59.6,0.7888,2004,3,10,3,22
5,1.2,1197,4.7,750,89,96,1393,949,11.2,59.2,0.7848,2004,3,10,3,23
6,1.2,1185,3.6,690,62,77,1333,733,11.3,56.8,0.7603,2004,3,11,4,0
7,1.0,1136,3.3,672,62,76,1333,730,10.7,60.0,0.7702,2004,3,11,4,1
8,0.9,1094,2.3,609,45,60,1276,620,10.7,59.7,0.7648,2004,3,11,4,2
9,0.6,1010,1.7,561,141,96,1235,501,10.3,60.2,0.7517,2004,3,11,4,3
10,1.5,1011,1.3,527,21,34,1197,445,10.1,60.5,0.7465,2004,3,11,4,4
11,0.7,1066,1.1,512,16,28,1182,422,11.0,56.2,0.7366,2004,3,11,4,5
12,0.7,1052,1.6,553,34,48,1221,472,10.5,58.1,0.7353,2004,3,11,4,6
13,1.1,1144,3.2,667,98,82,1339,730,10.2,59.6,0.7417,2004,3,11,4,7
14,2.0,1333,8.0,900,174,112,1517,1102,10.8,57.4,0.7408,2004,3,11,4,8
15,2.2,1351,9.5,960,129,101,1583,1028,10.5,60.6,0.7691,2004,3,11,4,9
16,1.7,1233,6.3,827,112,98,1446,860,10.8,58.4,0.7552,2004,3,11,4,10
17,1.5,1179,5.0,762,95,92,1362,671,10.5,57.9,0.7352,2004,3,11,4,11
18,1.6,1236,5.2,774,104,95,1401,664,9.5,66.8,0.7951,2004,3,11,4,12
19,1.9,1286,7.3,869,146,112,1537,799,8.3,76.4,0.8393,2004,3,11,4,13
20,2.9,1371,11.5,1034,207,128,1730,1037,8.0,81.1,0.8736,2004,3,11,4,14
21,2.2,1310,8.8,933,184,126,1647,946,8.3,79.8,0.8778,2004,3,11,4,15
22,2.2,1292,8.3,912,193,131,1591,957,9.7,71.2,0.8569,2004,3,11,4,16
23,2.9,1383,11.2,1020,243,135,1719,1104,9.8,67.6,0.8185,2004,3,11,4,17
24,4.8,1581,20.8,1319,281,151,2083,1409,10.3,64.2,0.8065,2004,3,11,4,18
25,6.9,1776,27.4,1488,383,172,2333,1704,9.7,69.3,0.8319,2004,3,11,4,19
26,6.1,1640,24.0,1404,351,165,2191,1654,9.6,67.8,0.8133,2004,3,11,4,20
